질병명,주요증상
폐혈전증 과 폐혈전색전증(Pulmonary thrombosis and thromboembolism in dogs and cats)," 간비장비대 | 감소된 , 사라진 폐소리 | 객혈 | 급사 | 기침 | 떨림 | 마름 | 모세혈관 리필 지연 | 목정맥 맥박증가 | 무력 | 비정상적인 폐 또는 흉강소리 | 빈맥 | 사라지거나 감소된 심장소리 | 수척한 | 식욕감퇴 | 심장 잡음 | 일반적인 허약증세 | 차가운 피부 | 창백 | 청색증 | 체중 손실 | 체중저하 | 컨디션저하 | 폐수 | 피부부종 | 호흡곤란 | 호흡률증가 "
"폐 협착증(Pulmonic stenosis in dogs, cats, and horses)"," 간신장비대 | 경정맥 맥박 | 기침 | 말초정맥팽창 | 발작 또는 졸도 | 복강내 덩이 | 복강팽창 | 복수 | 빈맥 | 사지마비 | 성장과 증체 결핍 | 심실비대 | 심장 잡음 | 운동능 소실 | 일반적인 허약 증세 | 청색증 | 청진기 촉진시 심음 소실 , 감소 | 침울 | 폐음의 감소 , 소실 | 하반신 마비 | 호흡곤란 | 호흡률증가 "
"바닥의 이물, 자창(Puncture wound, foreign body in the sole)"," 뒷다리 종창 | 뒷다리파행 | 뒷발종창 | 뒷발통증 | 머리 , 얼굴 , 목의 이물 | 발굽 , 발톱의 농 , 궤양 | 발굽의 이물 | 발톱 | 발톱 , 발굽의 열 | 앞다리 종창 | 앞다리 파행 | 앞발 통증 | 앞발종창 | 운동싫어함 | 일반적인 파행과 강직 "
Pourfour du Petit 증후군과 유사한 동공확장(Pupillary dilation resembling  in cats), 동공부등 | 동공확대 | 비정상적인 동공반사 | 안구돌출증 
화농결막염(Purulent conjunctivitis in dogs and cats)," 각막궤양 | 각막혈관신생 | 결막 , 공막 발적 | 결막 , 공막 충혈 | 결막부종 | 누루 | 눈에 화농성 삼출물 출현 | 비정상적인 각막 색소 "
유문 협착증(Pyloric stenosis in dogs and cats), 거친피모 | 건강약화 | 구토 | 림프절병증 | 복강팽창 | 설사 | 성장과 증체결함 | 수척 | 식욕감퇴 | 일반적인 허약증세 | 창백 | 체중감소 | 침울 | 혈변 
PYRACANTHA중독 (Pyracantha poisoning in dogs and cats)," 과도한 침흘림 , 유연 | 구토 | 무기력 | 설사 , 하리 | 식욕부진 "
"PYRETHRIN, PYRETHROID중독 (Pyrethrin, pyrethroid, toxicity in dogs and cats)"," 거리감각불능 | 과도한 침흘림 , 유연 | 구토 | 다호흡 | 떨림 | 무기력 | 발열 | 발작 , 실신 | 방향 감각 상실 | 설사 , 하리 | 식욕부진 | 운동실조 | 저체온증 | 전신허약 | 지각과민 | 진전 | 호흡곤란 | 흥분 |"
피루베이트 키나아제 결핍 (Pyruvate kinase deficiency in dogs and cats)," 간 , 비장 종대 | 무기력 | 발육정지 , 체중증가없음 | 복강내부 종괴 | 빈맥 | 수척 , 건강상태 불량 , 증체율 불량 | 심잡음 | 운동기피 | 전신허약 | 창백 | 체중감소 |"
4가 암모늄 중독증(Quarternary ammonium toxicity in cats)," 과도한 침흘림 , 유연 | 구강 점막의 궤양 , 수포 | 눈물흘림 | 다호흡 | 상부 기도의 비정상  호흡음 | 점액양 비강 분비물 | 탈수 | 피부의 궤양 | 피부 통증 | 피부홍반 | 혀의 궤양 , 수포 | 호흡곤란 |"
광견병(Rabies),"감돈포경 , 음경 지속 발기 | 개구장애 , 개구곤란 | 거리감각불능 | 걷다 앞으로 넘어짐 | 과도한 침흘림 | 구토 | 급사 , 돌연사 | 기립불능 | 꼬리 , 항문 지각감퇴 | 꼬리 무기력 | 눈부심 , 수명 | 다호흡 | 뒷다리 경련 | 뒷다리 무기력 | 뒷다리 양쪽 부전마비 , 무기력 , 마비 | 뒷다리 지각감퇴 | 뒷다리 파행 | 등부위 지각감퇴 | 땀흘림 | 떨림 | 머리 , 얼굴 , 귀 , 턱 무기력 , 처짐 | 머리 기울기 |  머리 박치기 | 머리 흔들기 | 목 무기력 | 목소리 변성 | 무기력 | 무유증 | 발열 | 발작 , 실신 | 방광 종대 , 확장 | 방향 감각 상실 | 배뇨곤란 | 배변량 감소 , 변비 , 배변 안됨 | 분변 실금 | 비정상적 또는 공격적 행동 , 습성이 바뀜 | 비정상적인 자세 | 빈뇨 | 사시 , 사팔뜨기 | 사지마비 | 산동 | 산통 | 상부기도의 비정상 호흡음 | 선회운동 | 설사 , 하리 | 소리 계속 지르기 , 소리가 커짐 | 소양감 , 가려움 | 식욕감퇴 | 실명 , 시력상실 | 안구진탕 , 안구불수의적운동 | 앞다리 경련 | 앞다리 반사 이상 | 앞다리 지각감퇴 | 앞다리 파행 | 앞다리 허약 | 연하곤란 | 요실금 | 이급후증 | 이빨을 감 | 이식증 , 이기증(이물 섭취 기호증) | 저작곤란 , 잘 씹지 못함 | 저체온증 |전신파행 , 경직 | 전신허약 | 점액변 , 점액양분변 | 점액양 비강 분비물 | 제3안검 탈출 | 지각과민 | 직장탈 | 진전 | 체중감소 | 탈모 , 무모증| 탈수 | 피부 부종 | 피하 지방 조직층 반사 이상 | 항문 , 회음부 , 꼬리 반사 이상 | 혀의 돌출 , 내밀기 | 호흡곤란 | 혼수 | 화농성 비강 분비물 | 흥분 |"
"요골신경 불완전마비, 마비(Radial nerve paresis, paralysis)", 비정상적인 자세 | 앞다리 반사 이상 | 앞다리 위축 | 앞다리 지각감퇴 | 앞다리 파행 | 앞다리 허약 |
,
"직장 째짐, 파열, 찢김, 천공,이물질(Rectal tear, rupture, laceration, perforation, foreign body)","1위 운동성 저하 | 골반 및 회음부의 종창 | 구강점막의 건조 | 기립불능 | 다한증 | 다호흡 | 모세혈관 재충만 시간 지연 | 무기력 | 무유증 | 발열 | 배변량 감소 , 변비 , 배변 안됨 | 복강 외부 압박에 따른 통증 | 복강내부 종괴 | 복명(장연동음) 감소 | 복부팽만 | 빈맥 | 산통 | 수척, 건강상태 불량 , 증체율 불량 | 식욕부진 | 약맥 | 이급후증 | 직장탈  | 체중감소 |탈수 | 피부 냉감 | 혈변 |"
"직장, 항문탈출(Rectal, anal prolapse)"," 꼬리 , 항문 , 회음부 , 통증 | 배변량 감소 , 변비 , 배변 안됨 | 산통 | 이급후증 | 직장탈 | 항문직장부위 종창 , 종괴 | 혈변 |"
"귀의 재발성 다발성 연골염, 이개(耳介) 연골염(Relapsing polychondritis of the ears in cats, auricular chondritis)"," 과각화증 | 머리 , 얼굴 , 귀 , 턱 , 코의 종창 | 머리 , 얼굴 , 턱 , 귀의 통증 | 청색증 | 피부 통증 | 피부홍반 |"
"신장과 방광의 기생충, 디옥토피마, 캐필라리아(Renal and bladder parasites in dogs and cats, dioctophyme, capillaria)"," 다뇨증 | 다음 | 배뇨곤란 | 빈뇨 | 요실금 | 적색뇨 , 갈색뇨 | 피부 , 털 , 깃털에 기생충 | 혈뇨 | 혈색소뇨 , 근색소뇨 |"
신장과 요관의 외상(Renal and ureteral trauma)," 급사 | 복강내부 종괴 | 복강 외부 압박에 따른 통증 | 복부팽만 | 빈맥 | 산통 | 신장 , 요관 촉진시 통증 | 신장 종대 촉진 | 적색뇨 , 갈색뇨 | 혈뇨 |"
신장 전위(Renal ectopia in dogs and cats), 다뇨증 | 다음 | 복강내부 종괴 | 요실금 |
"신장 형성저하증, 형성이상(Renal hypoplasia, dysplasia, in cats)"," 구강 점막의 궤양 , 수포 | 구토 | 다음 | 단백뇨 | 당뇨 | 무기력 | 발육정지 | 빈뇨 | 빈맥 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 | 창백 | 체중감소 |"
"신장 신생물, 신장 종양(Renal neoplasia, kidney tumors, in dogs and cats)"," 결막 , 공막의 발적 | 결막 , 공막의 충혈 | 구강점막의 울혈 | 구토 | 급사 | 기침 | 다뇨증 | 다음 | 다호흡 | 단백뇨 | 망막혈관 크기 이상 | 무기력 | 발열 | 복강내부 종괴 | 복강 외부 압박에 따른 통증 | 복부팽만 | 부정맥 | 비정상의 폐포음 | 산통 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 | 신장 , 요관 촉진시 통증 | 신장 종대 촉진 | 요실금 | 요통 , 허리 통증 | 적색뇨 , 갈색뇨 | 전신허약 | 창백 | 체중감소 | 출혈 | 탈수 | 피부 부종 | 혈뇨 | 혈색소뇨 , 근색소뇨 | 호흡곤란 |"
신장의 속발성 부갑상생 항진증(Renal secondary hyperparathyroidism in dogs and cats)," 개구장애 | 과도한 침흘림 | 구강 , 혀의 종창 | 구토 | 다뇨증 | 다음 | 뒷다리 파행 | 머리 , 얼굴 , 귀 , 턱 , 코의 종창 | 무기력 | 상부기도의 비정상 호흡음 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 | 앞다리 파행 | 운동실조 | 이빨의 결손 | 이빨 흔들림 | 저작곤란 , 잘 씹지 못함 | 전신파행 , 경직 | 창백 | 청색증 | 체중감소 | 탈구 , 뒷다리 비관절부 운동장애 | 탈구 , 앞다리 비관절부 운동장애 | 탈수 | 호흡시 이상한 냄새 |"
비만성 개와 고양이에서의 구속성 폐질환 (Restrictive pulmonary disease of obesity in dogs and cats), 과호흡 | 기침 | 비만 | 청색증 | 호흡곤란 |
잔류태자(Retained fetus)," 기립불능 | 난산 | 다호흡 | 무기력 | 무유증 | 발열 | 복강내부 종괴 | 빈맥 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 | 외음부 , 질의 악취냄새 , 분비물 | 외음부 질의 화농성 분비물 | 요관 증대 | 이급후증 | 이동거부 | 자궁 , 자궁경부의 화농성 , 점액양 분비물 | 자궁 , 질 , 자궁경부의 염발음 | 자궁종대 , 종괴 | 전신허약 | 체중감소| 출혈 , 응고부전 | 호흡곤란 |"
눈뒤출혈(Retrobulbar hemorrhage),"안검하수 | 안구돌출 | 안와 , 안와주위 , 결막 부종 , 안구종괴 | 제3안검 탈출 | 축동 |"
역방향 사정(Retrograde ejaculation), 수컷 불임 |
류마티스성 관절염(Rheumatoid arthritis in dogs and cats)," 단백뇨 | 뒷다리 관절의 운동성 감소 | 뒷다리 관절 이완 , 탈구 | 뒷다리 및 골반부 , 염발음 | 뒷다리 위축 | 뒷다리 종창 | 뒷다리 통증 | 뒷다리 파행 | 뒷발 종창 | 뒷발 통증 | 림프절 종대 | 무기력 | 발열 | 복강내부 종괴 | 빈맥 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 | 앞다리 관절의 운동성 감소 | 앞다리 관절 이완 및 탈구 | 앞다리 염발음 | 앞다리 위축 | 앞다리 종창 | 앞다리 통증 | 앞다리 파행 | 앞발 종창 | 앞발 통증 | 요통 , 허리통증 | 운동기피 | 전신파행 , 경직 | 창백 | 체중감소 | 피부 또는 피하의 종창 | 피부의 열감 |"
"밧줄, 쇠줄, 화상, 찰과상, 살속으로 파고든 굴레 (Rope, wire, burns or abrasions, ingrown collar)"," 과각화증 | 뒷다리 이물 | 뒷다리 종창 | 뒷다리 파행 | 뒷발 통증 | 머리, 얼굴, 목의 이물 | 무기력 | 발톱, 갈퀴, 발굽의 괴저편 | 수척, 건강상태 불량, 증체율 불량 | 식욕부진 | 앞다리 이물 | 앞다리 종창 | 앞다리 파행 | 앞발 통증 | 전신파행 , 경직 | 청색증 | 체중감소 | 탈모증 | 피부 괴사 | 피부 균열 | 피부 누관 | 피부 또는 피하의 종창 | 피부 인설 | 피부 통증 | 피부, 털, 깃털이 축축함 | 피부의 가피 | 피부의 궤양 | 피부의 악취 | 피부의 열상 |  피부의 화농성 분비물 | 피부홍반 |"
"마가목 중독증 (Rowan, mountain ash, sorbus, poisoning)"," 과도한 침흘림, 유연 | 구토 | 무기력 | 설사, 하리 | 식욕부진 "
"담낭, 담관 파열 (Rupture of the canine or feline gallbladder or bile duct)"," 구토 | 무기력 | 발열 | 복강 외부 압박에 따른 통증 | 복부팽만 복수 | 빈맥 | 산통 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 | 체중감소 | 탈수 | 황달 |"
방광 파열 (Rupture of the canine or feline urinary bladder)," 구토 | 다음 | 무기력 | 발열 | 배뇨곤란 | 복강 외부 압박에 따른 통증 | 복명(장연동음) 감소 | 복부팽만 | 복수 | 산통 | 식욕부진 | 이급후증 |  이동거부 | 저체온증 | 적색뇨 | 탈수 | 피부 냉감 | 핍뇨, 무뇨증 | 혈뇨 | 호흡시 이상한 냄새 |"
"식도의 파열, 열상, 천공, 식도의 외상 (Ruptured, lacerated, ulcerated, perforated esophagus, esophageal trauma)"," 과도한 침흘림 | 구토 | 급사, 돌연사 | 기침 | 기침시 객혈 | 다호흡 | 머리, 목의 염발음 , 마찰음 | 목 부위 종창 | 목, 경부, 목구멍 통증 | 목의 경직, 뻣뻣한 목 | 무기력 | 무유증 | 발열 | 비도 비강내 섭취물 | 빈맥 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 | 연하곤란 | 이빨을 감 | 저체온증 | 전신허약 | 창백, 화농성 비강 분비물 | 체중감소 | 출혈 , 응고부전 | 탈수 | 토혈증 | 폐포음 감소 | 피부 부종 | 피부의 열감 | 피하 염발음 | 혀의 돌출 , 내밀기 | 호흡곤란 | 후두, 기관, 인두의 종창 |"
"천장 염좌, 천장 관절 좌상, 부분탈구, 골절, 분리 (Sacroiliac strain, subluxation, fracture, separations)"," 골반위축 | 기립불능 | 꼬리 무기력 | 꼬리, 항문 지각감퇴 | 뒷다리 반사 이상 | 뒷다리 양쪽 부전마비 | 뒷다리 파행 | 등, 흉부, 염발음 | 배변량 감소 , 변비 , 배변 안됨 | 요통, 허리 통증 | 이급후증 | 이동거부 |"
"살리노마이신 독성, 다발신경병증 (Salinomycin toxicity, polyneuropathy, in cats)", 다호흡 | 뒷다리 반사 이상 | 뒷다리 양쪽 부전마비 | 목소리 변성 | 사지마비 | 앞다리 반사 이상 | 호흡곤란 |
"타석증(Salivary calculi, calculus, sialolith, in dogs and horses)"," 과도한 침흘림 | 머리, 얼굴, 귀, 턱, 코의 종창 | 머리, 얼굴, 턱, 귀의 통증 | 목 부위 종창 | 목, 경부, 목구멍 통증 | 인두, 후두, 기관의 통증 | 피부 누관 |"
"타액낭종, 점액낭종, 두꺼비종, 외상 (Salivary cyst, mucocele, ranula, trauma)"," 구강 , 혀의 종창 | 구역질 | 기침 | 다호흡 , 빠른호흡 | 머리, 얼굴, 귀, 턱, 코의 종창 | 목 부위 종창 | 상부기도의 비정상 호흡음 | 안와 , 안와주위 , 결막 부종 | 연하곤란 | 저작곤란 , 잘 씹지 못함 | 청색증 | 호흡곤란 | 후두 , 기관 , 인두의 종창 |"
"침샘, 침샘관 종양 (Salivary gland, duct, neoplasia in dogs and cats)","구강점막의궤양 , 수포 | 구강 , 혀의 종창 | 림프절 종대 | 머리 , 얼굴 , 귀 , 턱 , 코의 종창 | 목 부위 종창 | 무기력 | 부리 개폐 불능 | 사시 , 사팔뜨기 | 식욕부진 | 안구돌출 | 안와 , 안와주위 , 결막 부종 | 연하곤란 | 저작곤란 , 잘 씹지 못함 | 제3안검 탈출 | 후두 , 기관 , 인두의 종창 |"
근육포자충 관련 뇌척수막염 (Sarcocystis-associated meningoencephalomyelitis in cats),"거리감각불능 | 기립불능 | 무기력 | 비정상적인 자세 | 소리 계속 지르기 , 소리가 커짐 | 운동실조 | 제3안검 탈출 | 편측 부전마비 |"
"옴진드기, 진드기증, 개선충, 옴 (Sarcoptic mange mites, acariasis, sarcoptes scabiei, scabies in dogs and cats)"," 과각화증 | 림프절 종대, 림프절 병증 | 무기력 | 소양감 | 수척, 건강상태 불량, 증체율 불량 | 체중감소 | 탈모증 | 피부 구진 | 피부 균열 | 피부 농포 | 피부 수포 | 피부 인설 | 피부 통증 | 피부, 털, 깃털이 축축함 | 피부, 털의 건조 | 피부의 가피 | 피부의 궤양 | 피부의 화농성 분비물 | 피부홍반 |"
"견갑상완골 탈구, 부분탈구, 견갑불안정성(Scapulohumeral luxation, subluxation, shoulder instability)", 앞다리 관절의 탈구나 이완 | 앞다리 위축 | 앞다리 종창 | 앞다리 통증 | 앞다리 파행 |
"좌골, 신경 불완전마비, 마비 (Sciatic, ischiatic, nerve paresis, paralysis)", 기립불능 | 뒷다리 무기력 | 뒷다리 반사 이상 | 뒷다리 위축 | 뒷다리 지각감퇴 | 뒷다리 파행 | 비정상적인 자세 |
"경화, 피막성복막염(Sclerosing encapsulating peritonitis in dogs and cats)"," 복부팽만 | 식욕부진 | 복수 | 탈수 | 무기력 | 활동기피 | 복명(장 연동음)의 증가 | 복강내부 종괴 | 복강 외부 압박에 따른 통증 | 수척, 건강상태 불량, 증체율 불량 | 구토 | 체중감소 |"
"피지샘종양(Sebaceous, epidermal tumors in dogs, cats and horses)"," 뒷발, 발가락 종창 |  등부위 부어오름 | 머리, 얼굴, 귀, 턱, 코의 종창 | 목 부위 종창 | 안와, 안와주위, 결막 부종 | 앞발, 발가락 종창 | 탈모 | 피부 또는 피하의 종창 | 피부의 궤양 | 흉부 종창 |"
"뮐러 관, 자궁뿔의 부분무형성(Segmental aplasia of the mullerian duct, uterine horn)"," 복강내부 종괴 | 복부팽만 | 암컷의 불임증 | 이급후증 | 자궁 , 난소의 결손 | 자궁 , 자궁경부의 크기 감소 | 자궁 종대 | 자궁내 액체 | 자궁종대, 종괴 |"
분리불안증후군(Separation anxiety syndrome in dogs and cats)," 구토 | 다호흡 | 무기력 | 배변량 감소 , 변비 , 배변 안됨 | 비정상적 또는 공격적 행동 , 습성이 바뀜 | 빈뇨 | 빈맥 | 설사 | 소리 계속 지르기 , 소리가 커짐 | 소양감 | 식욕부진 | 이급후증 | 점액변 , 점액양분변 | 지각과민 | 혈변 | 흥분 |"
짧은 결장(Short colon in cats and dogs)," 방귀 | 분변 냄새의 이상 | 설사 , 하리 | 수척 , 건강상태 불량 , 증체율 불량 | 체중감소 |"
침샘염(Sialadenitis in dogs and cats)," 강점막의 울혈 , 홍반 , 발적 | 개구장애 , 개구곤란 | 과도한 침흘림 , 유연 , 입에 거품 | 구역질 | 구토 | 눈물흘림 , 장액성 분비물 , 축축한 눈 | 머리 , 얼굴 , 귀 , 턱 , 코의 종창 , 종괴 | 머리 , 얼굴 , 턱 , 귀의 통증 | 목 , 경부 , 목구멍 통증 | 무기력 , 침울 , 졸림 , 생기없음 | 사시 , 사팔뜨기 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 안구돌출 | 안와 , 안와주위 , 결막 부종 , 안구종괴 | 연하빈도 증가 | 저작곤란 , 잘 씹지 못함 | 피부의 열감 |"
"침샘염, 특발적 침샘 거대증(Sialadenosis, idiopathic salivary gland enlargement in dogs and cats)"," 과도한 침흘림 , 유연 , 입에 거품 | 구역질 | 구토 | 머리 , 얼굴 , 귀 , 턱 , 코의 종창 , 종괴 | 무기력 , 침울 , 졸림 , 생기없음 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 안구돌출 | 연하빈도 증가 | 운동기피 , 쉽게 지침 | 임상증상 | 체중감소 | 탈수 |"
굴심방 폐쇄 (Sinoatrial block in dogs and cats)," 동성 부정맥 | 부정맥 , 불규칙한 심박 및 맥박 | 서맥 , 느린 심박동이나 맥박 |"
"동 빈맥 (Sinus tachycardia in dogs, cats, and cattle)"," 동 빈맥 | 빈맥 , 빠른 맥박 , 심박 |"
골격 종양(Skeletal neoplasia in cats)," 뒷다리 통증 | 뒷다리 파행 , 경직 , 절름발이 | 뒷발 , 발가락 종창 , 종괴 | 머리 , 얼굴 , 귀 , 턱 , 코의 종창 , 종괴 | 앞다리 종창 , 종괴(관절부/비관절부위 포함) | 앞다리 통증 | 앞다리 파행 , 경직 , 절름발이 | 앞발 , 발가락 종창 , 종괴 | 전신파행 , 경직 , 절름발이 | 피부의 열감 | 흉부 종창 , 흉부 , 가슴 , 늑골 , 흉골의 종괴 |"
내부기생충에 의한 피부 알러지(Skin allergy to endoparasites in dogs and cats)," 소양감 , 가려움 | 탈모 , 무모증 | 피부 구진 | 피부 농포 | 피부 인설 , 비듬 , 비늘 | 피부 통증 | 피부의 가피 , 딱지 | 피부의 궤양 , 미란 , 찰과상 | 피부홍반 , 염증 , 발적 |"
"피부주름 피부염, 화농피부증, 간찰진(Skin fold dermatitis, pyoderma, intertrigo in dogs and cats)"," 피부 통증 | 피부 , 털 , 깃털이 축축함 | 피부의 궤양 , 미란 , 찰과상 | 피부의 악취 , 냄새 | 피부의 화농성 분비물 | 피부홍반 , 염증 , 발적 |"
"뱀에 의한 교상 (Snake bites, snakebites)"," 거리감각불능 , 거리감각 과대 및 과소 | 결막 , 공막 부종 | 과도한 침흘림 , 유연 , 입에 거품 | 구강 , 혀의 종창 , 종괴 | 구토 | 급사 , 돌연사 | 기립불능 , 다우너 | 꼬리 , 항문 지각감 , 회음부 , 항문 무감각 | 다음 , 많이 마심 , 지나친 갈증 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 단백뇨 | 당뇨 | 동 빈맥 | 동공부동 | 뒷다리 반사 이상(증가나 감소) | 뒷다리 양쪽 부전마비 , 무기력 , 마비 | 뒷다리 지각감퇴 , 뒷다리 무감각증 | 뒷다리 파행 , 경직 , 절름발이 | 등부위 지각감퇴 , 무감각증 | 떨림 , 전율 , 오한 | 머리 , 얼굴 , 귀 , 턱 , 코의 종창 , 종괴 | 머리 , 얼굴 , 목 , 혀 지각감퇴 , 무감각증 | 목 무기력 , 부전마비 , 마비 , 목을 못가눔 | 목 부위 종창 , 경부의 종괴 | 목소리 변성 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 부정맥 , 불규칙한 심박 및 맥박 | 분변 실금 | 비도 비강내 섭취물 | 비출혈 , 코피 | 빈맥 , 빠른 맥박 , 심박 | 빛에 대한 동공의 비정상 반응 | 사지마비 , 무기력 | 산동 , 확장된 동공 | 산통 , 복통 | 상부기도의 비정상 호흡음 , 코고는 소리 | 서맥 , 느린 심박동이나 맥박 | 설사 , 하리 | 소리 계속 지르기 , 소리가 커짐 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 심실 기외 수축 , 다발성 혹은 단발성 | 심실 빈맥 , 다발성 혹은 단발성 | 심실 세동 , 조동 | 안검하수 | 안구 전방출혈 ,  ""블랙 아이"" | 앞다리 반사 이상(증가나 감소) | 앞다리 지각감퇴 , 무감각 | 앞다리 파행 , 경직 , 절름발이 | 연하곤란 , 연하장애 | 요실금 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 저체온증 , 낮은체온 | 적색뇨 , 갈색뇨 | 전신허약 , 부전마비 , 마비 | 점상 또는 반상출혈 , 타박상 | 지각과민 , 예민함 , 과다운동 | 진전 | 청색증 , 피부나 점막이 푸름 | 출혈 , 응고부전 | 토혈증 | 피부 괴사 , 가피 , 괴저 | 피부 또는 피하의 종창 , 종괴 , 결절 | 피부 부종 | 피부홍반 , 염증 , 발적 | 피하 지방 조직층 반사 이상(증가나 감소) | 혈뇨 | 혈색소뇨 , 근색소뇨 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 | 혼수 , 혼미 | 황달 | 후두 , 기관 , 인두의 종창 , 종괴 | 흉부 또는 복부 지각감퇴 | 흥분 , 헛소리 , 광분 |"
"Sodium fluoroacetate, 1080 감염(Sodium fluoroacetate, 1080, toxicity)"," 걷다 앞으로 넘어짐 , 목적없이 배회 | 과도한 침흘림 , 유연 , 입에 거품 | 구토 | 급사 , 돌연사 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 떨림 , 전율 , 오한 | 발작 , 실신 , 경련 , 간질발작 , 허탈 | 부정맥 , 불규칙한 심박 및 맥박 | 빈뇨 | 빈맥 , 빠른 맥박 , 심박 | 산통 , 복통 | 설사 , 하리 | 소리 계속 지르기 , 소리가 커짐 | 심실 세동 , 조동 | 전신허약 , 부전마비 , 마비 | 지각과민 , 예민함 , 과다운동 | 진전 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 | 혼수 , 혼미 | 후궁반장 | 흥분 , 헛소리 , 광분 |"
"홑, 여러 개의 연골의 뼈 돌출증, 뼈 연골종증(Solitary or multiple cartilagenous exostosis, osteochondromatosis in dogs and cats)"," 거리감각불능 , 거리감각 과대 및 과소 | 근 긴장증 , 근 경직증 | 근육긴장저하 | 다호흡 , 빠른호흡(빈호흡) , 과호흡 | 뒷다리 만곡 , 굽음 | 뒷다리 무기력 , 후지마비 , 부전마비 | 뒷다리 반사 이상(증가나 감소) | 뒷다리 양쪽 부전마비 , 무기력 , 마비 | 뒷다리관절 운동성 감소 , 뒷다리만곡 | 뒷발 , 발가락 종창 , 종괴 | 목 , 경부 , 목구멍 통증 | 목의 경직 , 뻣뻣한 목  | 무기력 , 침울 , 졸림 , 생기없음 | 비정상적인 자세 | 사지마비 , 무기력 | 앞다리 관절의 운동성 감소 , 앞다리 만곡 | 앞다리 만곡 , 굽음 | 앞다리 반사 이상(증가나 감소) | 앞다리 종창 , 종괴(관절부/비관절부위 포함) | 앞다리 파행 , 경직 , 절름발이 | 앞발 , 발가락 종창 , 종괴 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 전신파행 , 경직 , 절름발이 | 편측 부전마비 | 피하 지방 조직층 반사 이상(증가나 감소) | 항문 , 회음부 , 꼬리 반사 이상 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 | 흉부 종창 , 흉부 , 가슴 , 늑골 , 흉골의 종괴 |"
"동공 경직 증후군, 정적인 동공부동(Spastic pupil syndrome in cats, static anisocoria)"," 동공부동 | 빛에 대한 동공의 비정상 반응 | 축동 , 동공축소 |"
"스핑고마이엘린지질증, 스핑고마이엘린증(Sphingomyelin lipidosis, sphingomyelinosis, in dogs and cats)"," 간 , 비장 종대 , 비장종대 , 간종대 | 거리감각불능 , 거리감각 과대 및 과소 | 뒷다리 반사 이상(증가나 감소) | 떨림 , 전율 , 오한 | 발육정지 , 체중증가없음 , 성장지연 | 사지마비 , 무기력 | 안구진탕 , 안구불수의적운동 | 앞다리 반사 이상(증가나 감소) | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 위협반사반응에 무반응 또는 감소 , 실명은 아님 | 진전 |"
"이분척추증(Spina bifida in dogs, cats, and sheep)"," 거리감각불능 , 거리감각 과대 및 과소 | 뒷다리 관절 이완 , 탈구 | 뒷다리 양쪽 부전마비 , 무기력 , 마비 | 뒷다리 위축 , 야윔 | 분변 실금 | 비정상적인 자세 | 앞다리 반사 이상(증가나 감소) | 요실금 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 피부 , 근육의 패임 , 오목함 , 보조개 | 항문 , 회음부 , 꼬리 반사 이상 |"
척수낭(Spinal cysts)," 거리감각불능 , 거리감각 과대 및 과소 | 기립불능 , 다우너 | 뒷다리 무기력 , 후지마비 , 부전마비 | 뒷다리 반사 이상(증가나 감소) | 뒷다리 양쪽 부전마비 , 무기력 , 마비 | 목 , 경부 , 목구멍 통증 | 분변 실금 | 비정상적인 자세 | 사경 , 목이 비틀어짐 | 사지마비 , 무기력 | 수척 , 건강상태 불량 , 증체율 불량 | 요실금 | 요통 , 허리 통증 | 운동실조 , 협조불능 , 절뚝거림 , 넘어짐 | 이동거부 | 체중감소 | 편측 부전마비 | 피하 지방 조직층 반사 이상(증가나 감소) |"
